01:00.101  render           | Fra: 40 | Rendering 64 / 64 samples
01:00.503  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0040.png'
01:00.504  render           | Time: 00:02.68 (Saving: 00:00.29)
01:00.504  render           | Rendering frame 41
01:00.525  render           | Start rendering: Scene, ViewLayer
01:00.525  render           | Engine: EEVEE
01:01.436  render           | Fra: 41 | Rendering 1 / 64 samples
01:02.535  render           | Fra: 41 | Rendering 25 / 64 samples
01:03.623  render           | Fra: 41 | Rendering 50 / 64 samples
01:04.232  render           | Fra: 41 | Rendering 64 / 64 samples
01:04.577  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0041.png'
01:04.579  render           | Time: 00:04.05 (Saving: 00:00.24)
01:04.580  render           | Rendering frame 42
01:04.596  render           | Start rendering: Scene, ViewLayer
01:04.596  render           | Engine: EEVEE
01:05.729  render           | Fra: 42 | Rendering 1 / 64 samples
01:06.720  render           | Fra: 42 | Rendering 25 / 64 samples
01:07.746  render           | Fra: 42 | Rendering 50 / 64 samples
01:08.331  render           | Fra: 42 | Rendering 64 / 64 samples
01:08.637  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0042.png'
01:08.638  render           | Time: 00:04.04 (Saving: 00:00.18)
01:08.638  render           | Rendering frame 43
01:08.657  render           | Start rendering: Scene, ViewLayer
01:08.657  render           | Engine: EEVEE
01:09.290  render           | Fra: 43 | Rendering 1 / 64 samples
01:10.304  render           | Fra: 43 | Rendering 25 / 64 samples
01:11.386  render           | Fra: 43 | Rendering 50 / 64 samples
01:11.954  render           | Fra: 43 | Rendering 64 / 64 samples
01:12.605  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0043.png'
01:12.605  render           | Time: 00:03.94 (Saving: 00:00.29)
01:12.605  render           | Rendering frame 44
01:12.625  render           | Start rendering: Scene, ViewLayer
01:12.625  render           | Engine: EEVEE
01:13.263  render           | Fra: 44 | Rendering 1 / 64 samples
01:14.177  render           | Fra: 44 | Rendering 25 / 64 samples
01:15.111  render           | Fra: 44 | Rendering 50 / 64 samples
01:15.662  render           | Fra: 44 | Rendering 64 / 64 samples
01:16.201  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0044.png'
01:16.203  render           | Time: 00:03.57 (Saving: 00:00.34)
01:16.204  render           | Rendering frame 45
01:16.268  render           | Start rendering: Scene, ViewLayer
01:16.268  render           | Engine: EEVEE
01:17.270  render           | Fra: 45 | Rendering 1 / 64 samples
01:18.227  render           | Fra: 45 | Rendering 25 / 64 samples
